id,place_id,image_path,is_primary,created_at,updated_at
84,39,places/2nk6NJn0vwfJRIZ0y9l8lIePV2kYdVdJZSUZTCZZ.jpg,1,"2026-02-15 17:50:07","2026-02-15 17:50:07"
85,39,places/GL0wRec98sTVgfIK8ZNfAtD5bgFcr1rQfQf6yt9L.jpg,0,"2026-02-15 17:50:07","2026-02-15 17:50:07"
86,40,places/OFhAGJt649eitLARjJx1qd4UBnRKxo9NAenfcwqn.jpg,1,"2026-02-15 17:58:23","2026-02-15 17:58:23"
87,40,places/nV0Nc8hhMywpj5BgzPpIQJ1mmoHrUdtrfbnX0qYR.jpg,0,"2026-02-15 17:58:23","2026-02-15 17:58:23"
88,40,places/FVYlS2ZuqfrsLtlclYt0AggNCx50ETRgOWnvVrGT.jpg,0,"2026-02-15 17:58:23","2026-02-15 17:58:23"
89,41,places/f3OIzFLqhS63pQGeyJ9mfO7GqRA3IufK2OYZF3Zo.jpg,0,"2026-02-15 18:02:56","2026-02-15 18:04:36"
90,41,places/mkCJ20TaMlPY126CDYhbA21PfrPavnk60HgMN38j.jpg,1,"2026-02-15 18:02:56","2026-02-15 18:04:36"
91,42,places/tpmPQKEWrbVmzdkqNIsF2Xw400fDWVi4JK0VnleW.jpg,1,"2026-02-15 18:23:29","2026-02-15 18:23:29"
97,36,places/bWfJGyFNYsRQ6Zd7FbrFGIbGNfMY23qN8UlXwJpF.jpg,1,"2026-02-17 12:24:10","2026-02-17 12:27:55"
98,36,places/u2FumV6YZzcDusKmWL9uNe2NO1T7iq6pKbTfdqwu.jpg,0,"2026-02-17 12:27:55","2026-02-17 12:27:55"
99,36,places/pUIF2ng88RyEKzXpwyAdx3JBfQdCEsa1g0gTaOAN.jpg,0,"2026-02-17 12:27:55","2026-02-17 12:27:55"
100,36,places/x87ULeX8fQSGl1unfXmpE3ey08G1iyIf5QVGg4Kn.jpg,0,"2026-02-17 12:27:55","2026-02-17 12:27:55"
103,43,places/gryQgSSv4Ge6EWiQ4Y8vdffxczQsmDwzZiFosPSZ.jpg,1,"2026-02-17 12:38:25","2026-02-17 12:39:16"
104,44,places/iNVP4yGCAz9t2sTRjsktHfRUnnhXFuGZr3zJOtM2.jpg,1,"2026-02-17 12:41:13","2026-02-17 12:41:13"
105,44,places/braVHelObS9z3PQ642U96XsfuPtiiNP41xHkMgcl.jpg,0,"2026-02-17 12:41:13","2026-02-17 12:41:13"
106,44,places/XvXQrYtiB9ObnjMjuftHDnkd1et9Aiy2RgAjACQk.jpg,0,"2026-02-17 12:41:13","2026-02-17 12:41:13"
107,37,places/7dWSv0m1JGZEWPz0GeThs21aylcVNT8ya2H8AyX9.jpg,1,"2026-02-17 12:49:06","2026-02-17 12:49:06"
108,37,places/atODJHsNYMjqU7gfazlC3Qi1oygUoI5jdPf63AYz.jpg,0,"2026-02-17 12:49:06","2026-02-17 12:49:06"
109,37,places/qZVdNnVMZsYt8YZGzHvfKj12APOFG8UHVjngnqCA.jpg,0,"2026-02-17 12:49:06","2026-02-17 12:49:06"
110,35,places/35gIlxR8VfbGUoZiRNKujEPMtxmvsbdhfHeiUXL5.jpg,0,"2026-02-17 12:52:33","2026-02-17 12:52:33"
111,35,places/vjobIkwW12r02JRfiyXuU3haf9egD6SAYV6ABiyE.jpg,0,"2026-02-17 12:52:33","2026-02-17 12:52:33"
112,35,places/0t0oGRePVYAOovX0PyT7pjhrXvlvOQPHH6lxQ0Te.jpg,1,"2026-02-17 12:52:33","2026-02-17 12:52:33"
113,35,places/KV9LbQq65q6zBbrxPkQ8RHrMOymHUAy4d9qDHf6X.jpg,0,"2026-02-17 12:52:33","2026-02-17 12:52:33"
114,33,places/cVwm9juld3uRbPluv4d47iLJ5p9Uv0GkslSYUuxb.jpg,1,"2026-02-17 12:55:33","2026-02-17 12:55:33"
115,33,places/nL0KcC5sTDi9AsKOEaSGhsRtNCNpI9EzGJhGE3LI.jpg,0,"2026-02-17 12:55:33","2026-02-17 12:55:33"
116,32,places/jVyAlAiW93h4KxXVOBGjnIWlLhyodwkc1d7Vpl6E.jpg,1,"2026-02-17 13:00:23","2026-02-17 13:00:23"
117,32,places/I7RoHcxoE2zjefVtnoFGZlyhZ79lAAuz2fo0y9VV.jpg,0,"2026-02-17 13:00:23","2026-02-17 13:00:23"
118,32,places/xq5F54YTur4pJSU0dInchcSXXb68HYytohOhmwAX.jpg,0,"2026-02-17 13:00:23","2026-02-17 13:00:23"
119,31,places/VZX38XS6ENobMqsaMYegcstAQRHnoCjXxzlezUPT.jpg,1,"2026-02-17 13:03:45","2026-02-17 13:03:45"
120,31,places/ZkLikzufRJwuYxg9KjRrsz33riZ081gVOh2kw2KM.jpg,0,"2026-02-17 13:03:45","2026-02-17 13:03:45"
121,31,places/PISFwvPpyRincYYuEREOBiDLIPAYQp4KwWvZPPYp.jpg,0,"2026-02-17 13:03:45","2026-02-17 13:03:45"
122,29,places/KXd11I0dREkKvGAFyfOqPWPkuzY4MFyFBQSEchue.jpg,1,"2026-02-17 13:11:26","2026-02-17 13:11:26"
123,29,places/kxHmbUJF4anQaBrvMYkOdy7iwrLwuDAUxVdZdZqT.jpg,0,"2026-02-17 13:11:26","2026-02-17 13:11:26"
124,29,places/dKnToa1tNd7Tc4EZnp3Dp9P63en8p0LeSd1Y6VAV.jpg,0,"2026-02-17 13:11:26","2026-02-17 13:11:26"
